iter	Accuracy	MultiClass
0	0.3783748773	2.257676031
1	0.3860058881	2.15525792
2	0.3867713445	2.078112766
3	0.3875446516	2.013906281
4	0.3888596663	1.961387276
5	0.3903473994	1.91591498
6	0.3919921492	1.877414292
7	0.3929381747	1.842257152
8	0.3935230618	1.812564327
9	0.3940490677	1.787785494
10	0.3946967615	1.764538737
11	0.395313052	1.744440624
12	0.3957762512	1.727007632
13	0.3964906771	1.711705224
14	0.3973071639	1.696891643
15	0.3977585868	1.684225683
16	0.3978096173	1.672064457
17	0.3985161923	1.66151648
18	0.3988851816	1.652785177
19	0.3992227674	1.643913612
20	0.3997762512	1.634690022
21	0.4000039254	1.627095249
22	0.400734053	1.620467943
23	0.4019470069	1.61408904
24	0.4026221786	1.608506423
25	0.40352895	1.603390129
26	0.4037880275	1.599305479
27	0.4043061825	1.595764431
28	0.4045888126	1.591993291
29	0.4047065751	1.58868312
30	0.4049735034	1.585998025
31	0.4054484789	1.583609017
32	0.405939156	1.580635133
33	0.4062414132	1.578178162
34	0.4070225711	1.57505761
35	0.4072816487	1.572816171
36	0.4075996075	1.570663357
37	0.4080039254	1.56930193
38	0.408498528	1.567390738
39	0.4087379784	1.565367948
40	0.4088439647	1.56413441
41	0.4094445535	1.562024573
42	0.4095780177	1.560851556
43	0.4098606477	1.559372967
44	0.4102767419	1.557828224
45	0.4107909715	1.556468218
46	0.4114386654	1.554676665
47	0.4118194308	1.55355553
48	0.4118351325	1.55255699
49	0.4119332679	1.55175793
50	0.4123140334	1.550930594
51	0.4128400393	1.54940725
52	0.4133110893	1.548578373
53	0.4135583906	1.547606065
54	0.4137193327	1.546817028
55	0.4137782139	1.546213197
56	0.4139273798	1.545207651
57	0.414107949	1.544535234
58	0.4144062807	1.543426113
59	0.4149558391	1.542374531
60	0.4153012758	1.541382474
61	0.4155132483	1.540633578
62	0.4155642787	1.539554889
63	0.4160824338	1.538353764
64	0.4162198234	1.537748998
65	0.4163925417	1.536974361
66	0.416545633	1.536515828
67	0.4165848871	1.535829061
68	0.4166987242	1.53520323
69	0.416828263	1.534328141
70	0.4170794897	1.533664702
71	0.417373896	1.532513261
72	0.4175073602	1.531933521
73	0.4175073602	1.531544616
74	0.4176172718	1.531123339
75	0.4179273798	1.529642889
76	0.4180569185	1.529047073
77	0.4181786065	1.528656665
78	0.4183473994	1.528052634
79	0.4185358194	1.527510396
80	0.4185161923	1.526996207
81	0.4187046124	1.526342274
82	0.418794897	1.525980805
83	0.4189519136	1.525480103
84	0.4191521099	1.525082706
85	0.4192266928	1.524730541
86	0.4194739941	1.52410902
87	0.4196506379	1.523874959
88	0.4197526987	1.523533752
89	0.4197723258	1.5232001
90	0.4198155054	1.522876128
91	0.4199646712	1.522408139
92	0.4201020608	1.521805147
93	0.4201844946	1.521356314
94	0.4202512267	1.520985314
95	0.4203689892	1.520588115
96	0.4205377821	1.520010253
97	0.4206947988	1.519667349
98	0.4207615309	1.519254612
99	0.4209342493	1.518863004
100	0.4210049068	1.518417805
101	0.4210716389	1.518111601
102	0.421157998	1.51789891
103	0.4214720314	1.517387443
104	0.4214877331	1.516878787
105	0.4215897939	1.516486083
106	0.4218253189	1.516146762
107	0.4218056919	1.516105816
108	0.4218724239	1.5158093
109	0.4220569185	1.515404816
110	0.4220451423	1.51521203
111	0.4222414132	1.514481564
112	0.4222531894	1.514047196
113	0.4223159961	1.513430349
114	0.4225044161	1.513022419
115	0.4225947007	1.512710583
116	0.4224926398	1.512426864
117	0.4225947007	1.512141938
118	0.4226418057	1.511797504
119	0.4226221786	1.511734252
120	0.422861629	1.511308157
121	0.4228773307	1.511055437
122	0.4230186457	1.510634345
123	0.4230461237	1.510353795
124	0.4233248283	1.509908719
125	0.4233248283	1.509635592
126	0.4234425908	1.509404025
127	0.4236113837	1.509121214
128	0.4237134446	1.508631578
129	0.4238508342	1.508267042
130	0.4239175662	1.507788645
131	0.42409421	1.507428685
132	0.4242708538	1.506818759
133	0.4244082434	1.506390261
134	0.4244553484	1.506012693
135	0.4245652601	1.505782942
136	0.4247536801	1.505129807
137	0.4247929342	1.504985492
138	0.4247536801	1.50471856
139	0.4247929342	1.504595339
140	0.4248400393	1.504460086
141	0.4249342493	1.504255834
142	0.4249499509	1.503805667
143	0.4251148184	1.503435381
144	0.4251069676	1.502999792
145	0.4252836114	1.502746273
146	0.4254131501	1.502435222
147	0.4254445535	1.502197577
148	0.4255819431	1.501753776
149	0.4256722277	1.501551286
150	0.4257311089	1.501306264
151	0.4257114818	1.501071355
152	0.425844946	1.50085122
153	0.4259195289	1.500655344
154	0.4259941119	1.500395766
155	0.4259587831	1.500176937
156	0.4263159961	1.499701365
157	0.4262453386	1.499445632
158	0.4263395486	1.499179286
159	0.4263591757	1.498978771
160	0.4265044161	1.498614974
161	0.4266928361	1.498260554
162	0.426747792	1.497984173
