iter	Passed	Remaining
0	1045	783258
1	1793	670618
2	2432	605810
3	3021	563487
4	3598	536236
5	4158	515608
6	4734	502544
7	5319	493376
8	5882	484310
9	6453	477524
10	7030	472310
11	7550	464351
12	8041	455870
13	8535	448748
14	9101	445957
15	9694	444716
16	10271	442899
17	10898	443220
18	11511	442875
19	12086	441141
20	12622	438194
21	13167	435714
22	13695	432910
23	14306	432761
24	14888	431769
25	15483	431148
26	16019	428975
27	16597	427988
28	17123	425728
29	17744	425872
30	18300	424461
31	18877	423564
32	19395	421421
33	19956	420267
34	20528	419360
35	21104	418564
36	21718	418529
37	22337	418530
38	22945	418314
39	23516	417413
40	24113	416991
41	24693	416257
42	25350	416801
43	25983	416916
44	26612	416924
45	27245	416967
46	27852	416603
47	28365	414846
48	28932	413907
49	29485	412792
50	30064	412059
51	30701	412113
52	31223	410617
53	31792	409776
54	32320	408408
55	32825	406798
56	33366	405666
57	33909	404577
58	34478	403804
59	35022	402761
60	35589	401983
61	36160	401269
62	36726	400495
63	37326	400092
64	37893	399336
65	38445	398433
66	38980	397368
67	39493	396099
68	40003	394820
69	40610	394506
70	41202	394039
71	41848	394077
72	42436	393558
73	43090	393634
74	43696	393271
75	44272	392631
76	44938	392773
77	45537	392326
78	46151	391991
79	46764	391656
80	47391	391421
81	47920	390379
82	48508	389820
83	49053	388920
84	49636	388329
85	50219	387744
86	50787	387035
87	51381	386530
88	51988	386116
89	52585	385624
90	53159	384966
91	53773	384600
92	54355	383995
93	54956	383522
94	55564	383104
95	56142	382470
96	56784	382270
97	57368	381674
98	57928	380925
99	58520	380386
100	59144	380047
101	59750	379590
102	60278	378645
103	60836	377885
104	61405	377204
105	62054	377011
106	62643	376446
107	62929	374082
108	63465	373226
109	64004	372390
110	64521	371435
111	65059	370608
112	65598	369792
113	66137	368979
114	66679	368186
115	67228	367436
116	67780	366708
117	68311	365871
118	68887	365276
119	69172	363155
120	69698	362319
121	70175	361231
122	70670	360246
123	71167	359280
124	71698	358492
125	72293	358024
126	72859	357411
127	73461	356975
128	74038	356418
129	74650	356023
130	75257	355605
131	75786	354818
132	76324	354078
133	76876	353402
134	77445	352808
135	78042	352340
136	78530	351380
137	79053	350584
138	79595	349876
139	80093	348980
140	80626	348236
141	81230	347801
142	81845	347413
143	82457	347010
144	83089	346682
145	83677	346171
146	84256	345621
147	84880	345258
148	85433	344598
149	85993	343972
150	86545	343317
151	87064	342529
152	87581	341739
153	88127	341063
154	88720	340571
155	89325	340123
156	89910	339596
157	90517	339152
158	91051	338437
159	91613	337825
160	92155	337139
161	92697	336457
162	93286	335944
163	93853	335355
164	94388	334650
165	94922	333945
166	95419	333111
167	95949	332395
168	96517	331815
